,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,Fecha de Verificacion,Número de PERMISO otorgado por la CRE,Número de Estacion,Razón Social,ESTADO,MUNCIPIO,TOTAL DE INSTUMENTOS (MANGUERAS) VERIFICADOS,TOTAL DE INSTUMENTOS (MANGUERAS) INMOVILIZADOS,CAUSAS DE INMOVILIZACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,Colonia,Código Postal,
,,,,,,,,,Acreditación documental (1),Calidad del Combustible (2),Cualidades Metrólogicas (3),,,,Causas Electrónicas (4),,,,,,,,,,Fallas Hidráulicas (5),,Falta o deficiencias en servicio de calibración (6),,,,,,Fuera de Servicio (7),Precio      (8),Seguridad  (9),,,,,
,,,,,,,,,1.1,2.1,3.1,FALTANTE MAXIMO PROMEDIO POR LITRO (EN ml),EXCEDENTE MAXIMO PROMEDIO POR LITRO (EN ml),3.2,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,5.1,5.2,6.1,6.2,6.3,DISTINTIVO EMPRESARIAL (6.4?),DICTAMEN (6.5?),( CAMBIA A 6.6?),7,8,9.1,9.2,,,,
1,1/4/23,PL/21559/EXP/ES/2018,SN,SERVICIO ROKY. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,10,3,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,AVENIDA MÉXICO NO. 66,OLÍMPICA 68,55130,
2,1/4/23,PL/1809/EXP/ES/2015,9789,SERVICIO SPOOKS STAR MAN. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. JARDINES DE MORELOS MZ 633 LT. 8-9 Y 10,JARDINES DE MORELOS,55070,
3,1/4/23,PL/957/EXP/ES/2015,8940,GASOLINERÍA REAL MADEIRA. S. A. DE C. V.,MEXICO,ECATEPEC DE MORELOS,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. CENTRAL LT. 1 MZ-A S/N,LAS AMERICAS,55070,
4,1/5/23,PL/9395/EXP/ES/2015,172,SERVICIO CUAJIMALPA. S. A. DE C. V.,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CARRETERA MEXICO-TOLUCA NO. 5693,CUAJIMALPA,5000,
5,1/5/23,PL/1505/EXP/ES/2015,12050,ESTACIÓN DE SERVICIO UMBRÍA. S. A. DE C. V.,MEXICO,HUIXQUILUCAN,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. JESUS DEL MONTE ESQ. SAN JOSE DE LOS CEDROS NO. 1,JESÚS DEL MONTE,52764,
6,1/5/23,PL/20957/EXP/ES/2018,SN,ESTACIÓN DE SERVICIO AMORA. S. A. DE C. V.,MEXICO,HUIXQUILUCAN,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIALIDAD DE LA BARRANCA NO . 1 Y 3,AMPLIACIÓN EL OLIVO,52789,
7,1/6/23,PL/19729/EXP/ES/2016,13036,GASOLINERAS LAS ADELITAS. S. A. DE C. V.,MEXICO,AXAPUSCO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAMINO KM 23.5 MÉXICO TULANCINGO-OTUMBA LÍMITES DE MÉXICO-HIDALGO,HUAYAPAN,55940,
8,1/6/23,PL/10983/EXP/ES/2015,9416,JESÚS ESPINOSA ZUÑIGA,MEXICO,TEOTIHUACÁN,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CALLE CERRADA AYAPANGO 10,SAN LORENZO TLALMIMILOLPAN ,55847,
9,1/6/23,PL/1399/EXP/ES/2015,8554,SERVICIO MUVI. S. A. DE C. V.,MEXICO,ACOLMAN,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUTOPISTA ECATEPEC – PIRÁMIDES KM. 17.680,XOMETLA, ,
10,1/4/23,PL/19565/EXP/ES/2016,13198,SÚPER SERVICIO GALAXIA. S. A. DE C. V.,MEXICO,CHICOLOAPAN,19,1,0,0,1,43.89,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV. RÍO MANZANO NÚMERO 101. MZ. 4. LOTES 2 Y 19. ZONA 4,SAN VICENTE CHICOLOAPAN,56370,
